Gene Name,S1_MS1 precursor area,S10_MS1 precursor area,S11_MS1 precursor area,S12_MS1 precursor area,S13_MS1 precursor area,S14_MS1 precursor area,S15_MS1 precursor area,S16_MS1 precursor area,S17_MS1 precursor area,S18_MS1 precursor area,S19_MS1 precursor area,S2_MS1 precursor area,S20_MS1 precursor area,S21_MS1 precursor area,S22_MS1 precursor area,S23_MS1 precursor area,S25_MS1 precursor area,S26_MS1 precursor area,S27_MS1 precursor area,S28_MS1 precursor area,S29_MS1 precursor area,S3_MS1 precursor area,S30_MS1 precursor area,S31_MS1 precursor area,S32_MS1 precursor area,S33_MS1 precursor area,S34_MS1 precursor area,S35_MS1 precursor area,S36_MS1 precursor area,S37_MS1 precursor area,S38_MS1 precursor area,S4_MS1 precursor area,S5_MS1 precursor area,S6_MS1 precursor area,S7_MS1 precursor area,S8_MS1 precursor area,S9_MS1 precursor area
PLIN2,2429070926,2879767007,4390229073,4235698508,2017039503,2254459867,4675607873,3277634029,1479114935,1806241882,2855181937,2615181186,835147372.8,3151732619,2895440946,5408213034,2433097665,3138416532,5922939909,5439531170,6880948239,3107331092,6723962587,4553961179,4959294076,2217909922,2748466703,2172472729,2102131878,2346127111,1469026028,2590904424,1844970799,2465058404,5424562625,6043770250,3252057058
DSC2,144703746,713150218.6,906101304,1961757074,NA,317426635.3,NA,NA,312673552.8,272480084.8,NA,205210272.5,NA,NA,NA,549603839.1,237228632.5,390002395.4,382601547.4,376442765.7,682104863.2,NA,634132112.6,801621984,736086367.3,495191268.8,686169349.6,NA,NA,312567907,262199479.8,125078144.9,357234447,572142183.5,323946179.1,NA,678409101.3
ADNP,1446233754,19539384146,669150525.6,891155562.2,1391562879,1242625146,748974346.2,857998460,1584567620,1020504998,822584534.3,4394552391,9054344216,1458132755,1436756518,2145388565,1191883369,1759564379,2453955990,3292765338,1430054151,1269959244,1426044875,2271064718,1963259477,1281392907,921735605.5,1479442049,1831004959,1451927383,1513576920,1000703324,1142498126,1645904162,2191933155,620954071.8,1935774953
GBE1,10439772607,5834356914,9393409833,6262364656,8175126769,7002561609,9657413748,5954916553,3829761375,6794969577,5627554672,7732376454,1784566602,5517015891,7449825853,7866078007,9867828810,8194252844,4948369688,7178832654,5196810369,8841924037,7663800172,4992962071,3195973547,4319688485,3632321618,1986813164,4820107302,3691328885,5534855520,9064735024,9637219376,8493845711,10910299288,10030823024,7240771092
EPHX1,2182041551,3752095467,4696608387,4961553017,2485780288,2671944045,5895516093,4758523034,4133622364,6647435089,2597578697,2118480334,NA,3120036165,2549799338,2324658490,1851841707,2253216843,3955604063,3192511578,2816466401,4745454659,12929858915,2399520568,2185835181,1721654748,1966792172,2503581324,2178035447,2586169702,2441812495,5058131153,4962267607,4153181870,4173131151,5504792647,3645114661
NUP188,769298568.4,634713724.2,1138216724,643169695.5,717986238.7,814193585.8,670499644.6,592396729,916617156.2,1520970440,3379842467,718055604.1,NA,776820378.3,8817576147,869304150.7,608819382.7,8930312128,703599124.5,1343902781,807393599.7,2550028137,779283951.3,960121404.3,708763339.5,576356915.7,906303971,711760625.6,713244540.8,762679310.7,600781199.4,1018542377,669753258.3,691982592.8,1835979362,1274661752,1975643938
DDX46,2114873308,3989724827,2465690592,2659735741,2018258958,3495061833,1745770148,1968537383,4409962930,1973029473,1208409487,3735253264,238757702.8,11107466361,2327466319,5061409763,1377880194,1545641682,2180721922,2061667298,2909741577,4631070930,2856503444,2928390840,10914178549,3645346460,7948417545,3114579369,2147730461,8541085846,2567660859,4457474840,3284162726,3440119598,3846717164,4638172133,3563173763
PAK2,6038381869,5761368516,7204875124,5836501731,5020606671,5996995964,7024379783,5402453557,6798868972,5887280255,6023385130,7010788560,NA,5494383519,5158391246,6332624826,3693531395,5272462674,6243655054,4728575498,6855146208,6936389542,6025375876,5279400000,5998312688,4728477498,5974322169,3022809835,3941587513,4711203387,4433895059,6552543640,4553786978,7244750338,7193461461,8748935937,5947900247
NAMPT,10833316939,14186560236,16307994057,9739621445,8332170715,7196045223,9957345563,7524904255,13825818051,11495364982,10793375266,13761780368,308419696.3,11355353991,9405079035,8082044397,6649888562,10606041448,7338335664,7080158610,10088171289,14313585201,9530000895,7292053289,8462384906,6005101916,6832032866,6911369715,7861154818,8832909618,8951631198,12702308690,10624890756,15745958653,60044187536,59717109497,12432274162
PIK3R4,651771366.6,3816386746,485784000.1,3178349195,3854428759,3416450717,140947277.7,292515310,4317672364,3426674117,658619300.7,4013925355,855687891.7,1229127154,757904197.2,564096762.4,530314701.9,530858800.3,473532009.4,1345369276,579424086.9,4668860049,655499144.9,655450823.2,753820837.1,397041591,907145249.1,460463270.3,465640498.2,563856356.5,616025891.1,5502232654,1147102580,5785474960,4876249913,1526385574,3607314681
MCM5,3486348842,3100383250,1928173056,4214348469,4316750278,6014067785,3533273005,3975261926,5595945836,4555722011,3116634558,2762813509,328416844.4,6946305594,5174866121,9834395923,4360758001,6191696666,8917520579,12905742819,7051042821,2530493177,5442748229,9056432700,7908389225,5411313056,7246241601,5618426730,6037455927,5447460507,4477212920,2748742200,4517162302,4039457792,1562130425,1749297304,3577708662
BCLAF1,381882608,230050511.6,384540746.6,NA,342384413.5,NA,NA,NA,438161018.2,333075541.2,NA,NA,NA,NA,391742530.1,NA,246214064.6,NA,NA,NA,NA,428718291.6,NA,336189342.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,546300368.9,243294902,NA,322038647.6
TRIM32,377004872.6,399107069.2,246549205.7,236390847.6,363359916.5,965247073.8,358012151.4,299458749.6,489108634.6,1352251125,244530942.4,4316219863,NA,272972951.6,NA,396862799.3,197818266.6,463158266.1,445578704.6,468027588.8,301204822.9,1340620454,451310241.8,675193893.9,250380908.4,NA,472605789.3,NA,70326678.81,302956620.2,373431637.8,1031375031,313849148.6,394044543.7,847038603,356967383.2,500698310.1
SERPINH1,62891337432,48311665172,40898254624,56494996912,55342727681,55460651839,64804185555,57098325232,55601918109,53128904402,60110121192,66323076646,8288778977,53916045013,44352576671,61729567442,44079498977,55388373620,56359496712,65315843505,56707673132,56830076591,63214510921,57712838293,48484269421,48658939100,52530326749,47499131342,52268327582,55437543258,49279493892,54287321856,58665024530,58394607338,52259721709,62072594984,47421130457
CYC1,6291079880,5855893036,6066529678,5341655357,6850032389,6234905277,5516265018,5197287545,4957686637,5037854000,5657248596,6827377528,816568835.8,7707822116,6022028741,5312167123,2808491530,5576793009,7938578494,6071180853,5668823376,5647796141,5752130299,6664951626,6449267195,6076395644,7987846324,3762766386,4900889872,5897506215,5404204060,6088768931,4882724957,7290841974,9195226561,9358163189,5764049722
SNRNP200,9683522160,9275947493,5744180759,6159798120,8620334258,6183265123,5924368490,4780278092,7061870717,6189134664,6241235703,8121624654,1390588252,7086671011,6472224174,8356772833,4237715862,5609899509,12910464803,10307348785,6244051173,10844396112,6396619655,7940196706,6973745900,5565371470,8021511170,4763957286,6231708433,6776645484,4966872712,9030300238,4789416007,5324931710,5899452827,9045929284,8379101602
BIRC6,2223288784,484440764.4,721027649.3,526267672.6,397130902.4,338704258,302046060.4,350723621.5,265313272.5,263171878.7,916141156.6,381940668.5,NA,2113779299,584260867.7,716290605,2252681464,595200468.2,601791089.8,496910064.3,592152481.5,1382106532,436844072.5,433591631.3,679601843.1,604488936.1,423934062.4,601642850.4,835784228.8,528387716.5,2917177043,820821588.1,412274680.8,648006745.3,775802478,675204637.5,383738784.6
ZFP36L1,498284410.9,401943810.6,338746039,264803541.1,1297255848,377029137,1208002960,1137815361,593278390,561279588,619643197,690513655,NA,500223619.3,328813192.9,410390756,167924147.4,441090381.8,584402394.7,474580232.1,661498769.4,1252987882,398009209.8,3057750706,435411193,277733412.4,199349025.4,NA,NA,394945253,508672502.3,355760888.3,810257960.9,466147922.8,NA,286725569,796250288.6
EEF1B2,16704109428,4832651140,22587977951,17951086669,17842057080,18027264862,17845702961,16008725841,16311541169,15043262263,21480440974,19759268821,NA,15858834415,18340644823,20031257196,12865764518,17978789588,18814024127,16733818658,19506259989,17977040607,18730845724,20789847760,19599659864,13778898194,17068384932,2802016726,14016055358,13675239934,14359134108,17611405007,14943241341,25312074983,20187278922,22489720381,15141424741
AHDC1,788562289.8,721950587.3,305340034.4,575380811.6,530228005.2,920186311.7,408736891.6,1409924307,753816045.1,1046148627,666058289.6,650323318.8,352089630.5,1888723521,1388522742,1131109506,512953290.3,824259641.2,1738278913,1664781743,1194703897,435800610.2,1175728773,1155687824,591227265.3,721290556.2,1024121876,413928577.5,410362086.7,398355879,593502789.6,604621127.5,510179447.1,904846147.5,622238686.9,819785659.6,735574528.7
SUPT16H,4305273925,3303689980,2338249395,3058953430,4555334195,3778418723,2829814413,3212166520,4243303990,3809335102,3102908430,3364466360,1229006101,4350108441,3753298864,5381356398,2329948195,12900911503,5327566630,7273826481,3801099549,3794754558,2920145155,4876617131,3440569540,3419186682,3763786717,3648421741,5112326880,5211523798,4465345529,3400731375,7757688607,3124588443,3116070734,3931527680,3495733588
NCL,45087278406,35430982326,41658301840,43442603921,37504463959,36981112788,33437336141,27359200074,37900839920,39394812834,47327718415,41259026238,6798029065,45719920745,40709569110,46417874332,27074568717,36218765351,43708881814,56843266810,36388614513,46951039770,38451880118,48485446493,36612973035,42196103337,38390348234,31664283453,35403387149,43140080157,32512843495,52352366505,33996351714,33674640676,31427656177,58153115355,44407269903
FHIT,423182250.6,257888319.6,351833595.1,316097529.4,NA,233327143.2,314406591.8,337398886.7,NA,362708002.7,572711032.2,571361915.6,NA,500496117.6,431492719.9,317602083.1,277010797,397184091.6,290689755.4,321821411.5,444774594.5,599560802.7,404915623.8,227344085,246170831.7,283719141.1,291778253.1,315107138.6,342928842.1,479240601.7,414508372,400797013.8,149446075.5,260132366.5,507751359.9,688033887.7,250708204.1
PDIA4,29644939123,26284134265,25958842250,22483722229,28156460557,28952348394,25808635449,21725597564,26744886313,22454525058,19440482223,23129261958,10340475376,24850058146,24562682016,27722704957,20399385876,27740251642,27348717571,27483044117,32994703454,35293078712,31123514631,27356499310,28271938619,21136995591,27544580178,26501711572,29916290874,31652999269,32024949325,35217138395,23616036758,28922303641,37328095197,42491624967,26188700105
SND1,12083709229,10396062454,16610498184,12066061101,14881367576,11782046846,11930063081,10357782604,11679772395,9891497201,10658633460,13361989728,983835591.5,12637960939,10197729221,13604806441,9313513073,10963230515,10674560691,14492755169,12629473312,12292296682,12748457637,13631006896,10203919588,9647141414,9623167893,10698108831,7741415575,11776907544,9170395587,13610075616,9337908807,12748099734,12460256336,12941880340,11292911296
TIMM44,5455857243,5454084924,5735391623,5032438121,2739788798,3770126758,2025165928,4518784455,6498907504,4185417174,5664961967,2635703444,533600780.1,3832592736,5194325194,3341872024,2740653619,1917458168,2164591540,5072144388,2949524195,2636480651,2414328644,7192039317,2342677599,3919974896,3065204767,3294290459,3260202153,2654954353,1602082388,5166867212,3508765994,5474687950,6679400477,7424060678,2082207596
PI4K2A,960601291.7,1194507582,1436472920,1297923396,863823572.2,902065414.2,1213615279,6172998819,1049971686,918521762.8,1113562470,1009718057,NA,809795877,808395508.8,879965233.8,774885981.4,1113096645,1033545035,1621267081,1544228602,1085455159,1565051188,1244250976,1149112542,848317488.2,1046270704,543869307,563697387.7,664853987.6,537833899.5,1144767065,747316844.3,991358748.6,1295741449,1747556861,1089582195
SF3B5,4015349093,2620384432,2558253994,3743122403,2822980087,3135690021,3814740193,3297898455,3191443845,3697062279,3637246042,3962719784,1513235310,5262606133,5981643543,4709216432,2627034398,1816002635,4415079855,4167284933,5416934114,3675960508,3216421050,7188299389,5907365595,4367844094,3812154202,2521137831,4424025999,3193339053,4182829024,3232688022,2166683651,3473613805,2042746838,3582359799,2740253504
SRSF9,3006059273,4550262121,4849330075,4880488516,3755453912,2669323579,5283329620,4480717225,5194345080,4897784989,4948955671,4537239427,2648488670,4688797368,3997912507,6326126684,4486772096,4427465741,8644190584,6402320185,4858227154,5089234102,4969658986,5886317299,5218473601,4739498707,5071333175,3973057742,3053681968,4324841544,2656649600,3450493129,3435380427,3444755348,5426909099,5859427512,2754930941
ACTR3,14092040757,19210476675,21522668539,46218952326,18391488548,18365146802,16612962697,20413372311,60675717991,18912940723,19073203007,15099697544,NA,23979571505,14803123502,17650399193,8459199070,24067478088,15953192451,13881285426,25428444419,21795227299,25501020269,24945791118,17756950316,11974956195,15632572160,7831707854,11751825867,16365806805,13741477874,13722604636,15231307350,17474970699,17745320233,21696784022,17146531006
SARS1,16841295006,15408799450,16560293801,14414120774,12149069763,10999148423,14631679185,13182117263,13518126715,12226697916,21064332921,17332357612,715631776,11674963639,12430204786,13539403920,7071698483,12533269363,12251535530,17546725373,13936545995,17742190743,13482460795,12741642821,9604236331,10829008871,10731856605,11485349054,12219075773,16409318493,13717092413,16001738166,12924459691,13386104713,15314139519,24131086493,14995716956
CCDC25,1263474629,2568668122,957682868.3,1455805688,1308611275,1749945028,1255833005,877407310.1,1366705007,1627326620,1571663619,1413823877,NA,1754300021,2523770196,2503353465,814880404.6,2920871709,2493409882,3761923523,2013366800,1041602335,1973672471,2116870314,2185477583,1639521347,1826355695,1575931779,1305962286,1347747859,746449763.4,1216267728,1309038764,1940722802,1521447444,1493498611,1394130570
C4orf33,NA,237315730.8,205551062.4,518775254.1,401857684.2,248466035.4,753236407.3,184834566.7,311424667.1,512149060.9,NA,235371899.5,NA,NA,NA,NA,91089789.86,292294009.1,NA,NA,303528683.7,233047422.9,288265839.8,1011421186,NA,NA,NA,238158221.8,NA,NA,NA,140878957.3,185045228.1,NA,NA,99813781.98,318712660.7
COPS4,3990511352,3698732461,4499374394,3848982696,3418676425,3726865839,4528977961,3105120647,4054471093,3433327917,5050517258,4186422772,1151743714,4261803675,4560727306,7902838965,2959099813,3258412444,4648704590,3939190672,5763057077,4610335503,5838689888,5109314933,3769287024,2967004797,6153196873,3468516750,3602551894,3744279358,3092611852,5284598117,3333380034,4657972655,5256035278,8109558233,3680864410
