Gene names,Intensity,Intensity 1,Intensity 10,Intensity 11,Intensity 12,Intensity 13,Intensity 14,Intensity 15,Intensity 16,Intensity 17,Intensity 18,Intensity 19,Intensity 2,Intensity 20,Intensity 21,Intensity 22,Intensity 23,Intensity 24,Intensity 25,Intensity 26,Intensity 27,Intensity 28,Intensity 29,Intensity 3,Intensity 30,Intensity 31,Intensity 32,Intensity 33,Intensity 34,Intensity 35,Intensity 36,Intensity 37,Intensity 38,Intensity 4,Intensity 5,Intensity 6,Intensity 7,Intensity 8,Intensity 9
HDAC6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPSA;RPSAP58,389060000,25504000,25720000,0,0,37591000,31650000,32119000,0,28867000,29286000,0,26047000,0,0,0,0,0,32212000,0,0,0,0,0,0,0,0,0,24558000,0,0,0,0,18590000,24759000,0,0,26850000,25312000
MAGOH;MAGOHB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPEPPS;NPEPPSL1,95556000,0,0,0,0,8919000,13205000,0,0,0,0,0,0,0,0,8921500,0,0,0,0,9582800,9722900,0,0,0,8625800,9284600,0,8173700,6701900,0,0,0,0,0,0,0,0,12419000
SOWAHB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MROH2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABI1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DTNBP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPTAN1,1912700000,31636000,43747000,10658000,53667000,71446000,56915000,91028000,52155000,23359000,77822000,59567000,51892000,39554000,54883000,55870000,56561000,34155000,81285000,67169000,27163000,41052000,61702000,59212000,47785000,78537000,57341000,41363000,50021000,26983000,15573000,35761000,62253000,44834000,61374000,76168000,32760000,24882000,54575000
PRCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WIPF3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
