Gene names,Intensity,Intensity S1,Intensity S10,Intensity S11,Intensity S12,Intensity S13,Intensity S14,Intensity S15,Intensity S16,Intensity S17,Intensity S18,Intensity S19,Intensity S2,Intensity S20,Intensity S21,Intensity S22,Intensity S23,Intensity S24,Intensity S25,Intensity S26,Intensity S27,Intensity S28,Intensity S29,Intensity S3,Intensity S30,Intensity S31,Intensity S32,Intensity S33,Intensity S34,Intensity S35,Intensity S36,Intensity S37,Intensity S38,Intensity S4,Intensity S5,Intensity S6,Intensity S7,Intensity S8,Intensity S9
DYM,10039000000,267030000,277390000,188520000,293750000,280010000,223300000,195640000,270660000,232850000,229350000,212300000,278510000,167860000,350960000,72559000,48079000,0,184820000,280780000,445860000,462200000,257880000,163710000,87148000,320700000,27869000,463740000,550960000,419600000,408850000,467510000,472140000,245290000,166680000,277120000,202980000,290290000,254520000
PHF5A,47751000000,1315600000,1297000000,1108300000,1246800000,1322600000,1462300000,1171300000,1160700000,1489000000,1346200000,886040000,1427900000,144940000,1165500000,1292300000,1506500000,0,1121200000,1087500000,1803000000,1275100000,1321800000,1378900000,1042200000,1347400000,1478200000,1227000000,1725000000,1061600000,1272600000,1164700000,1131100000,1855200000,1083100000,1602100000,1468500000,1577000000,1384300000
APTX,5314600000,232450000,183980000,185730000,133580000,149090000,167490000,150180000,114250000,147590000,171870000,156760000,234090000,27578000,147970000,148730000,135990000,0,89395000,120290000,125540000,214800000,162320000,125160000,175810000,206480000,121390000,135180000,107640000,62585000,64967000,75188000,60158000,105060000,151140000,122440000,172920000,246830000,182010000
ERMP1,28936000000,718710000,1185600000,963890000,1527100000,733080000,584230000,855100000,875330000,1013800000,1026400000,553830000,626880000,0,314680000,328130000,654960000,0,228650000,426680000,541250000,734380000,1320100000,974700000,1135400000,1205700000,1038600000,501160000,1053600000,458180000,486140000,968590000,947830000,904050000,451410000,207110000,799810000,1461500000,1129800000
TRMT1L,13471000000,526760000,468010000,306060000,415900000,416540000,301070000,343490000,291370000,461770000,297420000,443560000,502430000,0,506600000,346330000,478600000,0,264980000,351620000,475010000,385710000,456570000,689090000,353920000,376060000,199990000,206230000,328950000,81671000,247080000,144490000,90207000,709730000,333800000,253920000,397860000,532260000,485670000
ZC3HAV1,70470000000,2301900000,2214500000,2034600000,1346700000,1904800000,1881200000,2168700000,1375400000,2260600000,2242400000,1830600000,2025100000,158670000,1988100000,1355800000,1549400000,0,1423700000,1673900000,828560000,1153000000,2659400000,2262900000,2173400000,2136800000,1713600000,1385500000,1595000000,1569200000,1912200000,2363500000,2303200000,2382900000,2009600000,1889900000,2688800000,3480600000,2226400000
MRPL21,2126200000,80945000,58542000,51516000,49470000,54205000,60413000,49277000,54865000,59720000,53193000,59340000,49651000,0,60233000,44278000,52721000,0,40340000,52568000,48436000,51796000,47749000,62465000,52326000,60730000,57327000,41739000,67055000,82930000,94705000,91862000,71999000,50587000,61308000,46527000,66998000,77889000,60459000
EFTUD1,31022000000,965950000,928160000,860890000,826630000,1950200000,687380000,740660000,658900000,717880000,771730000,846200000,861390000,56749000,821080000,743710000,804290000,0,458320000,703070000,886000000,979030000,1042700000,847170000,958940000,914100000,939360000,509290000,836420000,680490000,823740000,689020000,881870000,1047300000,688850000,807220000,1060500000,1065100000,961310000
MAMDC2,6276400000,277380000,259650000,116480000,47035000,192690000,195750000,124110000,134710000,289140000,158890000,127180000,263530000,0,280000000,238850000,185660000,0,93233000,38326000,43868000,0,89577000,307090000,86335000,107350000,155430000,173130000,156500000,206380000,247990000,358570000,222780000,208980000,265490000,291800000,12807000,54618000,265130000
SETX,51562000000,3008600000,2752900000,2416800000,99133000,2512200000,2037700000,2783800000,243540000,2556600000,1755100000,386680000,2442100000,17591000,295870000,136590000,155020000,0,161880000,265220000,188640000,109900000,2649400000,2512600000,259700000,30898000,355070000,285190000,369630000,241630000,415980000,462590000,323460000,2585400000,2693000000,3413000000,3250200000,5222300000,2166400000
TRAPPC11,8958600000,347790000,390150000,212900000,244180000,242240000,250420000,171300000,205980000,199320000,147130000,313600000,246460000,39507000,303360000,191310000,273470000,3239700,154880000,192340000,193400000,309600000,157040000,254370000,186300000,227270000,206760000,193780000,289330000,255900000,316310000,260890000,342630000,170670000,297630000,238370000,293880000,288290000,346610000
SMIM15,3170600000,253330000,270670000,387290000,0,145800000,42329000,77047000,14252000,159200000,232900000,19819000,214560000,0,24012000,0,21495000,0,0,18199000,29251000,21039000,78194000,0,41108000,0,17495000,15744000,0,0,0,0,0,269360000,142760000,149750000,102810000,256640000,165610000
NUP54,57884000000,2076300000,1784000000,1772500000,1574200000,1602700000,1609800000,1786800000,1818200000,1935800000,1963300000,1919100000,1980000000,43823000,1570100000,1372600000,1599600000,0,944080000,1922500000,2268300000,1524800000,1978200000,1926300000,1870000000,1467500000,716170000,975530000,1658900000,520390000,681650000,651340000,775610000,1986200000,1097100000,2193400000,2376900000,2193000000,1747600000
ATG9A,9987500000,248970000,247290000,344940000,332150000,288110000,204330000,325870000,275140000,224480000,176220000,388830000,270720000,59661000,199280000,239230000,312870000,274390,214850000,290610000,297040000,398820000,250100000,247970000,352720000,255040000,300950000,182350000,237390000,275050000,283550000,385790000,278410000,273800000,216670000,238140000,198580000,402200000,269080000
C14orf159,15834000000,456300000,186440000,472290000,475660000,716840000,575640000,506670000,481610000,544670000,467090000,582120000,560800000,8707700,507760000,428420000,516400000,0,256780000,442360000,387670000,525300000,424480000,699490000,410560000,241580000,209560000,211510000,304290000,558190000,296050000,236530000,214100000,598560000,141550000,236650000,763610000,958950000,228720000
ARMC9,42688000000,2488900000,1357300000,593450000,783600000,921300000,826760000,1262600000,1201700000,1442400000,1281000000,1093700000,2383400000,202420000,935280000,711390000,836570000,0,1702500000,2519600000,530580000,645850000,1719200000,1214800000,1668000000,1191400000,992370000,350440000,633780000,412610000,414670000,623300000,403050000,1844000000,910680000,1442500000,1608900000,2387500000,1150400000
C16orf62,30068000000,1001900000,988430000,669240000,777820000,952400000,890610000,683120000,611360000,813250000,910600000,782520000,848610000,0,800260000,695780000,950590000,0,643610000,815890000,685640000,1118600000,1205900000,1013000000,904450000,1152600000,825630000,529520000,788010000,528030000,597640000,1004300000,1045900000,667320000,896500000,658330000,788130000,961130000,861470000
POGZ,18500000000,668470000,545290000,266300000,473080000,485770000,536430000,324860000,343820000,542600000,520660000,262020000,482580000,35007000,658880000,485340000,660630000,0,212980000,470160000,1127400000,1189100000,540810000,550030000,336620000,526850000,567330000,299820000,370290000,449830000,563720000,519120000,378180000,493490000,501290000,603030000,412520000,490530000,605440000
ZFYVE16,6768600000,245990000,132380000,110280000,168930000,145290000,196160000,131530000,108680000,127390000,143720000,112730000,141950000,0,176540000,258880000,301390000,0,117180000,279330000,197350000,331820000,303480000,174570000,153270000,113010000,125070000,270670000,184290000,169880000,198320000,118100000,189390000,153830000,187990000,295830000,177220000,285190000,240920000
TMC4,181310000,0,0,24398000,56687000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30030000,0,29065000,0,18326000,12940000,0,0,0,0,0,0,0,0,0,0,9865400
MYH14,62615000000,2858800000,1870800000,2624900000,3369100000,1711600000,1178700000,1320500000,1396400000,1926200000,2028700000,1643600000,2566300000,49621000,1523900000,1140300000,1218500000,0,757110000,1503200000,774250000,1133000000,1389000000,1711300000,1331600000,2057500000,1364300000,1134200000,1247200000,2610100000,512770000,2253100000,2044700000,1479700000,1687000000,1600100000,2355900000,3259400000,1981900000
NUFIP2,57915000000,1531600000,1551900000,1793300000,1996400000,1365500000,1559100000,1677700000,1286900000,2056300000,1215300000,1588200000,1558100000,449130000,1135400000,1772100000,1818100000,0,1053300000,1793500000,1305100000,1254600000,2061300000,2331600000,1980600000,1609200000,1348200000,1172900000,2136000000,905760000,977190000,1696400000,1576600000,1682600000,1453700000,1592300000,1809600000,2357200000,1462600000
MAVS,18374000000,454230000,572340000,604470000,607700000,532330000,450830000,650330000,522600000,572660000,621980000,537240000,525980000,64499000,614500000,513930000,458170000,0,303180000,578540000,645300000,362680000,580500000,387990000,624430000,572450000,595730000,467910000,594250000,330990000,328300000,402720000,423550000,488890000,273780000,546500000,527840000,511450000,522780000
DHX29,29339000000,660110000,700100000,725490000,637060000,700680000,634930000,666910000,683610000,629030000,603410000,673760000,667630000,61696000,877070000,904710000,713640000,379820,463690000,840020000,838630000,1057700000,845210000,900680000,858130000,1228000000,1078000000,869330000,1176300000,800540000,1146700000,1113700000,870370000,787360000,849210000,729730000,823680000,890070000,631900000
NPHP3,1980700000,89129000,96366000,0,0,73822000,63288000,76732000,12579000,109420000,47824000,0,73459000,0,62846000,69730000,76524000,0,52423000,53898000,44910000,35914000,26335000,58584000,39516000,29077000,44637000,62091000,59109000,52535000,49583000,65746000,65366000,73153000,64101000,78130000,57486000,41280000,75112000
COMMD6,5347300000,47771000,68585000,124020000,48272000,104980000,77878000,228860000,204390000,89037000,148700000,269060000,35048000,31583000,242320000,187420000,234180000,0,146540000,268610000,191430000,116270000,277090000,95053000,241460000,244550000,240690000,124310000,151260000,130090000,148290000,222480000,163470000,54508000,67751000,44296000,97465000,125080000,54478000
TRMT11,6512600000,233440000,313270000,195220000,279800000,344410000,143990000,94352000,202830000,301620000,363990000,175580000,279010000,0,183670000,54847000,137780000,0,40747000,0,99191000,160230000,83607000,366950000,225970000,268830000,29121000,130090000,90274000,93517000,72470000,138090000,189500000,309300000,83794000,139320000,235370000,202770000,249590000
HDDC2,16996000000,381640000,542200000,603540000,444310000,316220000,319090000,294820000,311480000,241410000,260270000,485430000,500460000,0,605630000,543830000,1155500000,0,492360000,660150000,838350000,745480000,618610000,504140000,646610000,480960000,636680000,401020000,446890000,306200000,412510000,142230000,263830000,523040000,157520000,233550000,444590000,490600000,544880000
HAUS6,12802000000,550700000,311330000,241950000,339920000,298980000,334840000,297200000,292740000,411830000,337680000,192650000,439110000,0,439490000,244730000,458210000,0,236090000,408260000,443070000,671160000,507780000,332900000,366290000,428060000,270030000,306160000,449110000,213610000,204700000,272810000,337830000,329160000,397380000,527290000,297230000,292080000,319350000
